ticker,metric,fy,filing,filed,instance_value,instance_tag,sheet_value,sheet_tag,match
KR,revenue,2018,0001558370-20-003501,2020-04-01,121852000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,121852000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
KR,revenue,2017,0001558370-20-003501,2020-04-01,123280000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,123280000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
KR,cost_of_sales,2019,0001558370-20-003501,2020-04-01,95294000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,95294000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,True
KR,cost_of_sales,2018,0001558370-20-003501,2020-04-01,95103000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,95103000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,True
KR,cost_of_sales,2017,0001558370-20-003501,2020-04-01,95811000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,95811000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,True
KR,net_income,2019,0001558370-20-003501,2020-04-01,1659000000.0,NetIncomeLoss,1659000000.0,NetIncomeLoss,True
KR,net_income,2018,0001558370-20-003501,2020-04-01,3110000000.0,NetIncomeLoss,3110000000.0,NetIncomeLoss,True
KR,net_income,2017,0001558370-20-003501,2020-04-01,1907000000.0,NetIncomeLoss,1907000000.0,NetIncomeLoss,True
KR,total_equity,2016,0001558370-20-003501,2020-04-01,6710000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,6710000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,total_equity,2017,0001558370-20-003501,2020-04-01,6905000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,6905000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,current_assets,2017,0001558370-19-002756,2019-04-02,11117000000.0,AssetsCurrent,11117000000.0,AssetsCurrent,True
KR,current_assets,2018,0001558370-19-002756,2019-04-02,10803000000.0,AssetsCurrent,10803000000.0,AssetsCurrent,True
KR,cost_of_sales,2016,0001558370-19-002756,2019-04-02,89502000000.0,CostOfGoodsSoldExcludingDepreciationDepletionAndAmortization,89502000000.0,CostOfGoodsSoldExcludingDepreciationDepletionAndAmortization,True
KR,cost_of_sales,2017,0001558370-19-002756,2019-04-02,95662000000.0,CostOfGoodsSoldExcludingDepreciationDepletionAndAmortization,95811000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,False
